,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
duration,22500.0,0.0,4915266.0,218.46,0.0,1406.62,1978569.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,283.0,7589.01,57715.0
src_bytes,22500.0,0.0,234121388.0,10405.4,54.0,473247.93,223963600388.55,0.0,0.0,0.0,0.0,0.0,54.0,287.0,1032.0,15876.0,283618.0,62825648.0
dst_bytes,22500.0,0.0,46274839.0,2056.66,46.0,21239.35,451109994.26,0.0,0.0,0.0,0.0,0.0,46.0,601.0,4082.6,8314.0,26063.43,1345927.0
land,22500.0,0.0,7.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wrong_fragment,22500.0,0.0,190.0,0.01,0.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
urgent,22500.0,0.0,16.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hot,22500.0,0.0,2372.0,0.11,0.0,0.93,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,101.0
num_failed_logins,22500.0,0.0,487.0,0.02,0.0,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
logged_in,22500.0,0.0,9949.0,0.44,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
num_compromised,22500.0,0.0,2701.0,0.12,0.0,7.28,52.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,796.0
root_shell,22500.0,0.0,55.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
su_attempted,22500.0,0.0,6.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
num_root,22500.0,0.0,2585.0,0.11,0.0,8.05,64.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0
num_file_creations,22500.0,0.0,197.0,0.01,0.0,0.68,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
num_shells,22500.0,0.0,26.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
num_access_files,22500.0,0.0,80.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
num_outbound_cmds,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_host_login,22500.0,0.0,11.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
is_guest_login,22500.0,0.0,641.0,0.03,0.0,0.17,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
