,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
duration,125000.0,0.0,35962738.0,287.7,0.0,2606.93,6796085.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9594.01,42908.0
src_bytes,125000.0,0.0,4351041075.0,34808.33,44.0,4415344.55,19495267475487.34,0.0,0.0,0.0,0.0,0.0,44.0,276.0,847.1,1480.0,54540.0,1167519497.0
dst_bytes,125000.0,0.0,2489696175.0,19917.57,0.0,4036889.22,16296474608198.24,0.0,0.0,0.0,0.0,0.0,0.0,515.0,3373.0,8314.0,25519.01,1309937401.0
land,125000.0,0.0,25.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wrong_fragment,125000.0,0.0,2837.0,0.02,0.0,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
urgent,125000.0,0.0,14.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hot,125000.0,0.0,25504.0,0.2,0.0,2.15,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0
num_failed_logins,125000.0,0.0,152.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
logged_in,125000.0,0.0,49449.0,0.4,0.0,0.49,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
num_compromised,125000.0,0.0,34775.0,0.28,0.0,24.01,576.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7479.0
root_shell,125000.0,0.0,168.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
su_attempted,125000.0,0.0,137.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
num_root,125000.0,0.0,37623.0,0.3,0.0,24.46,598.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7468.0
num_file_creations,125000.0,0.0,1595.0,0.01,0.0,0.49,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
num_shells,125000.0,0.0,52.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
