source_ip,destination_ip,source_port,destination_port,protocol,bytes,is_anomaly
151.190.174.116,128.0.121.138,3197,2614,TCP,808,0
157.119.66.140,81.178.34.165,47982,2017,UDP,1491,0
106.204.106.24,46.127.212.239,39416,16503,TCP,297,1
129.207.245.74,90.38.47.184,12739,12802,TCP,1014,0
81.110.234.42,149.96.16.180,25582,48760,UDP,1425,0
151.39.83.242,73.154.165.47,10441,16799,UDP,1203,0
3.98.208.104,238.35.67.38,49753,64246,TCP,680,0
84.164.176.103,159.16.0.100,21986,14670,TCP,352,0
82.123.194.50,27.177.177.147,34761,986,UDP,1454,1
189.109.58.145,232.238.68.115,51477,32272,TCP,1068,0
228.147.218.140,62.34.76.186,28476,55830,TCP,299,1
101.249.221.45,239.28.61.118,6522,4153,TCP,944,0
233.172.28.197,95.223.3.122,36438,31307,TCP,68,1
198.41.55.43,159.48.8.144,7805,31549,UDP,803,0
239.236.3.79,29.120.103.132,32269,55221,UDP,868,0
66.82.25.107,78.186.98.172,5890,22483,UDP,173,1
67.38.84.232,59.80.192.23,1172,4900,TCP,1170,1
18.246.78.155,48.52.231.240,54141,11420,UDP,1404,0
45.217.99.23,181.106.168.161,13579,52555,TCP,46,0
32.189.179.19,75.185.84.103,64244,9485,TCP,998,1
229.64.151.0,216.57.206.120,15546,24320,TCP,1461,1
247.23.31.78,252.129.249.106,6039,12365,UDP,362,1
228.84.166.95,255.12.206.207,6107,50488,UDP,53,0
189.5.154.156,84.35.245.83,33212,40838,TCP,797,0
241.182.186.208,67.108.139.185,42217,26032,TCP,1051,1
62.21.84.28,35.47.219.118,54517,17477,TCP,1044,0
231.138.201.212,142.151.139.164,7127,36965,UDP,68,0
16.152.128.252,33.89.112.217,57014,48548,UDP,533,0
70.51.138.117,240.234.199.243,13384,26846,UDP,446,1
143.148.94.172,148.219.191.133,10386,65119,UDP,1307,0
250.0.88.13,197.218.99.172,19951,5204,UDP,851,1
170.89.113.241,147.30.126.101,13062,22323,UDP,349,0
180.125.168.113,111.184.161.205,40031,58645,TCP,1227,1
177.238.54.106,233.178.96.203,34802,29834,UDP,947,1
131.204.202.82,146.200.47.16,32786,46440,TCP,1296,1
45.26.82.240,78.212.237.89,58036,18069,UDP,471,0
209.165.68.99,144.14.192.33,65513,47134,UDP,1175,1
93.38.10.38,153.124.208.177,7370,36196,TCP,1224,1
210.2.35.32,160.100.148.158,9076,32922,UDP,467,1
233.83.165.101,235.96.226.139,4525,12764,TCP,1299,0
8.48.147.188,70.159.27.115,35978,55205,UDP,1202,1
44.235.105.133,231.194.244.12,41268,18275,UDP,509,0
146.69.235.141,195.136.165.194,5885,57673,TCP,105,1
237.245.8.224,121.136.71.50,10683,48922,UDP,1309,1
255.115.95.51,9.90.52.130,49622,40949,UDP,1054,0
59.130.55.31,45.67.215.150,3086,11184,TCP,666,1
81.30.66.207,182.181.17.32,36001,51788,UDP,609,1
32.174.112.150,111.189.57.218,39341,53807,TCP,1499,1
155.220.238.169,46.26.92.203,39454,19788,TCP,1009,1
106.232.191.69,161.52.175.13,55499,32300,UDP,1330,1
19.131.52.197,14.76.22.184,21655,65404,TCP,1014,0
51.40.155.41,73.159.56.171,49814,28928,UDP,920,0
59.95.123.8,172.54.128.166,23926,31267,TCP,373,0
246.65.44.227,185.37.69.216,3747,51630,TCP,1258,1
84.217.194.135,93.95.125.12,5244,11278,UDP,760,0
41.134.30.62,52.69.142.114,23397,39633,TCP,1099,0
178.49.79.142,92.132.215.115,60783,34329,TCP,1055,0
14.102.239.88,24.223.95.62,56976,2234,TCP,586,1
81.203.176.69,109.189.30.180,33592,28708,TCP,181,0
143.127.115.58,219.22.15.211,19871,1155,TCP,619,0
151.11.181.224,177.226.145.28,23228,6164,TCP,967,0
168.15.49.43,52.76.50.108,58832,50045,TCP,748,1
251.229.145.221,23.100.133.55,51935,50439,TCP,308,1
82.125.227.29,94.71.83.17,37100,38881,UDP,1110,1
35.91.235.227,149.73.147.216,14119,15530,UDP,1024,1
62.57.15.147,236.247.196.100,2165,43516,TCP,842,1
40.147.42.216,22.57.74.137,60657,46113,TCP,1193,1
153.53.73.89,197.84.84.248,2232,25739,UDP,726,1
82.97.122.48,50.128.91.113,63482,14739,UDP,230,1
21.9.9.111,6.167.250.132,34762,38248,UDP,975,0
18.66.242.139,12.130.145.32,377,26633,TCP,504,1
146.79.100.162,59.244.26.187,1040,10455,TCP,406,0
125.46.183.1,147.46.0.89,33048,10755,UDP,997,0
251.137.146.6,8.171.241.35,949,4650,TCP,340,1
154.198.139.91,27.28.94.72,8237,14812,TCP,162,1
250.220.193.97,199.25.165.145,60216,31524,TCP,1157,0
222.219.249.10,118.157.6.92,16020,33597,TCP,1481,1
239.37.170.139,238.114.174.251,7001,43158,UDP,1373,1
67.206.8.49,108.156.16.81,14291,45944,TCP,738,0
23.147.74.193,115.187.180.94,33435,3805,UDP,701,0
21.32.92.50,115.250.139.44,36790,63216,TCP,574,0
5.21.98.192,218.239.222.108,35048,54579,UDP,214,1
33.8.17.201,200.171.187.214,15140,53696,TCP,417,0
206.65.214.248,137.184.2.5,40063,6458,UDP,1175,0
225.28.84.45,177.242.103.91,3728,32518,TCP,434,1
0.150.193.230,30.161.106.212,27938,45852,UDP,68,0
63.86.187.25,131.10.14.117,40417,225,TCP,1096,1
6.75.103.12,196.239.178.223,33321,11836,TCP,256,0
214.17.147.1,217.191.5.220,64199,23651,TCP,1449,1
8.229.119.186,136.99.104.38,36080,11332,UDP,559,1
37.135.17.206,175.11.57.205,50415,64150,UDP,543,1
152.79.141.187,114.93.58.65,3561,51621,TCP,1454,1
136.22.81.53,156.89.18.50,19231,26000,UDP,865,1
206.63.102.13,224.93.248.134,15296,64887,UDP,1314,1
84.236.127.195,14.8.121.53,48634,34848,TCP,113,1
77.162.25.199,83.21.241.198,55884,4059,TCP,1195,1
236.111.214.181,68.182.150.250,16930,12164,UDP,666,1
16.106.249.229,251.35.191.127,13981,23549,TCP,292,0
156.30.44.247,226.126.240.130,3856,14707,TCP,491,1
47.27.108.21,239.243.143.159,11474,26925,TCP,1058,0
219.196.89.154,204.90.123.207,8798,53100,TCP,1188,1
119.89.143.156,182.17.178.11,51793,64402,UDP,86,0
77.34.45.221,73.16.215.27,54564,49973,TCP,499,1
209.243.120.217,128.219.196.53,28225,50381,TCP,82,0
230.162.173.83,138.44.44.71,40686,28620,UDP,1093,1
215.224.116.99,103.184.150.157,12240,28048,UDP,1210,1
64.247.46.102,209.89.223.20,6608,9351,TCP,710,0
139.215.155.177,113.90.184.221,60847,31765,TCP,627,0
104.236.250.84,44.139.217.251,31917,18565,TCP,863,0
2.137.208.68,179.10.144.27,36258,19785,UDP,677,0
144.106.156.94,20.144.184.59,62959,18168,TCP,735,0
213.117.161.176,39.230.181.114,38190,54974,UDP,508,1
196.141.6.33,111.42.152.74,38826,15292,UDP,43,0
158.184.109.170,217.9.3.73,56670,35416,UDP,1256,0
198.10.207.190,87.83.6.95,53925,42270,UDP,527,0
229.132.229.149,151.66.4.195,20050,31304,UDP,1227,1
69.165.244.199,88.211.78.201,10402,57684,TCP,1306,0
172.25.14.137,38.75.210.90,49268,36628,TCP,1404,1
109.247.95.104,101.100.36.236,10978,48175,TCP,702,0
19.2.186.37,219.95.68.41,34066,17712,TCP,784,0
142.109.249.211,169.148.39.94,8845,49595,UDP,858,1
209.30.66.158,43.10.203.7,6933,63604,UDP,426,0
247.25.47.18,216.121.0.199,53394,2445,TCP,1203,0
