date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-01-01 00:58:33 57.222.145.109 GET llipgydg.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 21
2022-01-01 00:58:33 57.222.145.109 GET index.aspx - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 301 0 0 21
2022-01-01 00:58:49 57.222.145.109 GET fbuizasq.css - 443 - 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 20
2022-01-01 00:59:15 57.222.145.109 GET gfhmdzfx.css - 443 ss749635 89.251.124.218 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/81.0.4044.138+Safari/537.36 https://bankofpunk.local/login.aspx 200 0 0 26
2022-01-01 06:26:37 57.222.145.109 POST login.aspx - 443 - 185.225.163.94 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0) https://bankofpunk.local/index.aspx 401 0 0 29
2022-01-01 06:27:06 57.222.145.109 POST login.aspx - 443 - 185.225.163.94 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0) https://bankofpunk.local/login.aspx 401 0 0 23
2022-01-01 09:56:25 57.222.145.109 POST login.aspx - 443 - 31.210.134.46 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+SV1;+.NET+CLR+1.1.4322;+.NET+CLR+2.0.50727) https://bankofpunk.local/index.aspx 401 0 0 23
2022-01-02 09:35:24 57.222.145.109 POST login.aspx - 443 - 185.97.213.168 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/86.0.4240.198+Safari/537.36 https://bankofpunk.local/index.aspx 401 0 0 27
2022-01-02 09:35:47 57.222.145.109 POST login.aspx - 443 - 185.97.213.168 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/86.0.4240.198+Safari/537.36 https://bankofpunk.local/login.aspx 401 0 0 24
2022-01-02 09:36:20 57.222.145.109 GET template.css v=ukqfehet 443 - 185.97.213.168 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/86.0.4240.198+Safari/537.36 https://bankofpunk.local/index.aspx 200 0 0 28
